,Time,Name,Population growth (%),Life expectancy (years)
456,2000-01-01,Guatemala,2.3,68.9
457,2000-01-01,Panama,1.9,75.5
458,2000-01-01,Argentina,1.1,74.3
459,2000-01-01,Papua New Guinea,2.5,62.6
460,2000-01-01,New Zealand,1.4,79.1
461,2000-01-01,Samoa,0.6,70.1
462,2000-01-01,Libya,1.6,70.8
463,2000-01-01,Lesotho,0.8,45.6
464,2000-01-01,El Salvador,0.5,69.6
465,2000-01-01,Equatorial Guinea,4.2,53.6
466,2000-01-01,Eritrea,3.1,56.7
467,2000-01-01,Estonia,-0.6,71.6
468,2000-01-01,Ethiopia,2.9,53.6
469,2000-01-01,Israel,1.9,79.6
470,2000-01-01,Ireland,1.8,77.8
471,2000-01-01,Egypt,1.9,69.0
472,2000-01-01,Fiji,0.3,68.0
473,2000-01-01,France,0.5,79.4
474,2000-01-01,Japan,0.1,81.8
475,2000-01-01,Gabon,2.6,59.1
476,2000-01-01,Gambia,3.2,56.9
477,2000-01-01,Georgia,-1.0,72.6
478,2000-01-01,Ghana,2.6,57.5
479,2000-01-01,Iraq,2.7,68.9
480,2000-01-01,Finland,0.3,78.4
481,2000-01-01,Ecuador,1.7,73.6
482,2000-01-01,Eastern Asia,0.6,74.2
483,2000-01-01,Central African Republic,1.9,43.7
484,2000-01-01,Comoros,2.4,59.6
485,2000-01-01,Congo,2.8,52.1
486,2000-01-01,Jamaica,0.7,72.8
487,2000-01-01,Costa Rica,1.6,77.8
488,2000-01-01,Croatia,-0.2,74.9
489,2000-01-01,Cuba,0.2,77.2
490,2000-01-01,Chile,1.1,77.4
491,2000-01-01,Cyprus,1.7,78.3
492,2000-01-01,Czechia,-0.1,75.5
493,2000-01-01,Chad,3.8,47.7
494,2000-01-01,Côte d'Ivoire,1.9,46.7
495,2000-01-01,Dem. People's Rep. Korea,0.8,68.1
496,2000-01-01,Dem. Rep. of the Congo,3.0,51.8
497,2000-01-01,Denmark,0.3,77.3
498,2000-01-01,Djibouti,1.8,57.3
499,2000-01-01,Italy,0.5,80.3
500,2000-01-01,Dominican Republic,1.5,71.1
501,2000-01-01,Greece,0.3,79.1
502,2000-01-01,Liberia,2.5,52.4
503,2000-01-01,Iran (Islamic Republic of),1.3,71.1
504,2000-01-01,Canada,1.0,79.7
505,2000-01-01,Italy,0.5,80.3
506,2000-01-01,Jamaica,0.7,72.8
507,2000-01-01,Japan,0.1,81.8
508,2000-01-01,Jordan,2.3,72.2
509,2000-01-01,Bulgaria,-0.8,72.2
510,2000-01-01,Brunei Darussalam,1.8,75.7
511,2000-01-01,Kazakhstan,0.6,64.6
512,2000-01-01,Burkina Faso,2.9,51.6
513,2000-01-01,Kenya,2.7,52.7
514,2000-01-01,Kuwait,2.1,73.3
515,2000-01-01,Kyrgyzstan,0.6,66.9
516,2000-01-01,Lao People's Dem. Rep.,1.5,60.3
517,2000-01-01,Latin America & the Caribbean,1.3,72.1
518,2000-01-01,Jordan,2.3,72.2
519,2000-01-01,Latvia,-1.1,70.8
520,2000-01-01,Lebanon,4.2,75.6
521,2000-01-01,Kiribati,1.8,64.5
522,2000-01-01,Burundi,3.0,52.0
523,2000-01-01,Israel,1.9,79.6
524,2000-01-01,India,1.7,63.5
525,2000-01-01,Guatemala,2.3,68.9
526,2000-01-01,Guinea,1.9,51.3
527,2000-01-01,Guinea-Bissau,2.1,52.7
528,2000-01-01,Guyana,-0.1,65.3
529,2000-01-01,Haiti,1.6,58.3
530,2000-01-01,Indonesia,1.4,66.7
531,2000-01-01,Honduras,2.4,71.0
532,2000-01-01,Hungary,-0.3,72.5
533,2000-01-01,Cameroon,2.6,51.5
534,2000-01-01,Cambodia,1.8,60.8
535,2000-01-01,Iceland,1.0,80.7
536,2000-01-01,India,1.7,63.5
537,2000-01-01,Indonesia,1.4,66.7
538,2000-01-01,Iran (Islamic Republic of),1.3,71.1
539,2000-01-01,Iraq,2.7,68.9
540,2000-01-01,Cabo Verde,1.7,71.3
541,2000-01-01,Ireland,1.8,77.8
542,2000-01-01,Grenada,0.3,70.9
543,2000-01-01,Greece,0.3,79.1
544,2000-01-01,China,0.6,73.1
545,2000-01-01,Saudi Arabia,2.8,72.9
546,2000-01-01,Azerbaijan,1.0,67.4
547,2000-01-01,Bahamas,2.0,73.2
548,2000-01-01,Bahrain,5.8,74.9
549,2000-01-01,Bangladesh,1.7,66.7
550,2000-01-01,Barbados,0.3,73.8
551,2000-01-01,Belarus,-0.6,67.8
552,2000-01-01,Belgium,0.5,78.4
553,2000-01-01,Austria,0.5,78.9
554,2000-01-01,Belize,2.7,68.5
555,2000-01-01,Finland,0.3,78.4
556,2000-01-01,Bhutan,2.7,62.9
557,2000-01-01,Bolivia (Plurin. State of),1.8,62.1
558,2000-01-01,Fiji,0.3,68.0
559,2000-01-01,Bosnia and Herzegovina,0.1,74.8
560,2000-01-01,Botswana,1.4,49.2
561,2000-01-01,Brazil,1.3,71.1
562,2000-01-01,Benin,3.0,56.2
563,2000-01-01,Lebanon,4.2,75.6
564,2000-01-01,Argentina,1.1,74.3
565,2000-01-01,Armenia,-0.6,72.4
566,2000-01-01,Bangladesh,1.7,66.7
567,2000-01-01,Yemen,2.8,61.0
568,2000-01-01,Zambia,2.7,46.9
569,2000-01-01,Bahrain,5.8,74.9
